Date,Open,High,Low,Close,Adj Close,Volume
2020-11-17,8389.299805,8437.450195,8339.349609,8425.549805,8425.549805,1475200
2020-11-18,8426.599609,8716.250000,8421.299805,8686.599609,8686.599609,3027300
2020-11-19,8646.849609,8807.599609,8594.750000,8628.299805,8628.299805,2089900
2020-11-20,8661.799805,8712.150391,8572.099609,8684.750000,8684.750000,1594100
2020-11-23,8744.349609,8767.799805,8651.099609,8738.599609,8738.599609,1410700
2020-11-24,8776.650391,8942.150391,8767.650391,8887.950195,8887.950195,1191100
2020-11-25,8951.549805,8961.099609,8708.750000,8738.450195,8738.450195,1215100
2020-11-26,8757.599609,8823.700195,8682.000000,8767.750000,8767.750000,1074800
2020-11-27,8829.049805,8972.549805,8808.349609,8891.599609,8891.599609,2640600
2020-12-01,8999.750000,8999.750000,8855.049805,8987.150391,8987.150391,1275600
2020-12-02,9010.500000,9103.900391,8985.950195,9093.700195,9093.700195,1511500
2020-12-03,9150.700195,9256.900391,9123.250000,9245.299805,9245.299805,1049600
2020-12-04,9290.650391,9408.750000,9207.500000,9302.200195,9302.200195,1186400
2020-12-07,9313.049805,9339.900391,9260.599609,9311.099609,9311.099609,746600
2020-12-08,9330.450195,9456.650391,9235.750000,9297.849609,9297.849609,953900
2020-12-09,9331.700195,9345.049805,9283.150391,9293.299805,9293.299805,886400
2020-12-10,9286.549805,9332.700195,9173.250000,9200.849609,9200.849609,807300
2020-12-11,9234.849609,9274.549805,9133.650391,9188.950195,9188.950195,926400
2020-12-14,9248.650391,9251.299805,9074.900391,9093.099609,9093.099609,776800
2020-12-15,9078.250000,9168.700195,9052.049805,9149.750000,9149.750000,882600
2020-12-16,9239.450195,9290.950195,9207.400391,9239.099609,9239.099609,1580100
2020-12-17,9265.700195,9288.000000,9146.400391,9185.200195,9185.200195,1053800
2020-12-18,9180.250000,9200.849609,9091.799805,9168.650391,9168.650391,1023800
2020-12-21,9128.349609,9132.650391,8560.200195,8745.000000,8745.000000,1537200
2020-12-22,8754.400391,8854.400391,8540.950195,8818.599609,8818.599609,2011000
2020-12-23,8825.700195,8955.750000,8786.450195,8935.950195,8935.950195,1109800
2020-12-24,8966.450195,9052.700195,8937.450195,8978.049805,8978.049805,1180300
2020-12-28,9035.849609,9102.700195,9029.349609,9066.849609,9066.849609,1353000
2020-12-29,9109.950195,9128.849609,8997.299805,9043.900391,9043.900391,1135300
2020-12-30,9077.150391,9189.950195,9001.400391,9164.799805,9164.799805,798900
2020-12-31,9174.450195,9216.650391,9155.599609,9193.500000,9193.500000,1008300
2021-01-01,null,null,null,null,null,null
2021-01-04,9346.150391,9434.349609,9267.500000,9417.950195,9417.950195,1641300
2021-01-05,9356.900391,9431.000000,9293.450195,9416.049805,9416.049805,1361400
2021-01-06,9424.500000,9484.049805,9279.049805,9379.549805,9379.549805,1301900
2021-01-07,9453.650391,9530.599609,9406.049805,9429.650391,9429.650391,1620000
2021-01-08,9491.450195,9767.099609,9478.299805,9741.250000,9741.250000,1301800
2021-01-11,9789.799805,10028.750000,9693.700195,9995.599609,9995.599609,2667800
2021-01-12,9991.450195,10259.099609,9975.049805,10119.849609,10119.849609,5244300
2021-01-13,10166.150391,10269.900391,10120.250000,10208.549805,10208.549805,2784400
2021-01-14,10237.299805,10285.250000,10148.950195,10238.299805,10238.299805,1438200
2021-01-15,10241.700195,10287.450195,10092.049805,10178.299805,10178.299805,3191800
2021-01-18,10162.900391,10173.799805,9863.900391,9961.099609,9961.099609,2432700
2021-01-19,10033.349609,10166.200195,10008.750000,10136.799805,10136.799805,1891700
2021-01-20,10140.799805,10387.799805,10118.450195,10369.250000,10369.250000,2666900
2021-01-21,10432.549805,10596.900391,10282.250000,10367.750000,10367.750000,3484200
2021-01-22,null,null,null,null,null,null
2021-01-25,10649.799805,10692.150391,10337.400391,10433.500000,10433.500000,2292900
2021-01-27,10410.250000,10457.900391,10161.299805,10210.250000,10210.250000,2122600
2021-01-28,10065.950195,10312.150391,10056.950195,10105.599609,10105.599609,1866200
2021-01-29,10221.849609,10308.900391,9776.900391,9813.150391,9813.150391,2428400
2021-02-01,9919.099609,10262.099609,9726.549805,10227.950195,10227.950195,2642500
2021-02-02,10427.049805,10689.950195,10383.549805,10638.599609,10638.599609,3787800
2021-02-03,10754.000000,10860.049805,10626.450195,10749.150391,10749.150391,3260300
2021-02-04,10763.599609,10988.349609,10732.200195,10867.099609,10867.099609,2121400
