Date, Open, High, Low, Close
06/21/24, 23661.15, 23667.10, 23398.20, 23501.10
06/20/24, 23586.15, 23624.00, 23442.60, 23567.00
06/19/24, 23629.85, 23664.00, 23412.90, 23516.00
06/18/24, 23570.80, 23579.05, 23499.70, 23557.90
06/14/24, 23464.95, 23490.40, 23334.25, 23465.60
06/13/24, 23480.95, 23481.05, 23353.90, 23398.90
06/12/24, 23344.45, 23441.95, 23295.95, 23322.95
06/11/24, 23283.75, 23389.45, 23206.65, 23264.85
06/10/24, 23319.15, 23411.90, 23227.15, 23259.20
06/07/24, 22821.85, 23320.20, 22789.05, 23290.15
06/06/24, 22798.60, 22910.15, 22642.60, 22821.40
06/05/24, 22128.35, 22670.40, 21791.95, 22620.35
06/04/24, 23179.50, 23179.50, 21281.45, 21884.50
06/03/24, 23337.90, 23338.70, 23062.30, 23263.90
05/31/24, 22568.10, 22653.75, 22465.10, 22530.70
05/30/24, 22617.45, 22705.75, 22417.00, 22488.65
05/29/24, 22762.75, 22825.50, 22685.45, 22704.70
05/28/24, 22977.15, 22998.55, 22858.50, 22888.15
05/27/24, 23038.95, 23110.80, 22871.20, 22932.45
05/24/24, 22930.75, 23026.40, 22908.00, 22957.10
05/23/24, 22614.10, 22993.60, 22577.45, 22967.65
05/22/24, 22576.60, 22629.50, 22483.15, 22597.80
05/21/24, 22404.55, 22591.10, 22404.55, 22529.05
05/17/24, 22415.25, 22502.15, 22345.65, 22466.10
05/16/24, 22319.20, 22432.25, 22054.55, 22403.85
05/15/24, 22255.60, 22297.55, 22151.75, 22200.55
05/14/24, 22112.90, 22270.05, 22081.25, 22217.85
05/13/24, 22027.95, 22131.65, 21821.05, 22104.05
05/10/24, 21990.95, 22131.30, 21950.30, 22055.20
05/09/24, 22224.80, 22307.75, 21932.40, 21957.50
05/08/24, 22231.20, 22368.65, 22185.20, 22302.50
05/07/24, 22489.75, 22499.05, 22232.05, 22302.50
05/06/24, 22561.60, 22588.80, 22409.45, 22442.70
05/03/24, 22766.35, 22794.70, 22348.05, 22475.85
05/02/24, 22567.85, 22710.50, 22567.85, 22648.20
04/30/24, 22679.65, 22783.35, 22568.40, 22604.85
04/29/24, 22475.55, 22655.80, 22441.90, 22643.40
04/26/24, 22620.40, 22620.40, 22385.55, 22419.95
04/25/24, 22316.90, 22625.95, 22305.25, 22570.35
04/24/24, 22421.55, 22476.45, 22384.00, 22402.40
04/23/24, 22447.05, 22447.55, 22349.45, 22368.00
04/22/24, 22336.90, 22375.65, 22198.15, 22336.40
04/19/24, 21861.50, 22179.55, 21777.65, 22147.00
04/18/24, 22212.35, 22326.50, 21961.70, 21995.85
04/16/24, 22125.30, 22213.75, 22079.45, 22147.90
04/15/24, 22339.05, 22427.45, 22259.55, 22272.50
04/12/24, 22677.40, 22726.45, 22503.75, 22519.40
04/10/24, 22720.25, 22775.70, 22673.70, 22753.80
04/09/24, 22765.10, 22768.40, 22612.25, 22642.75
04/08/24, 22578.35, 22697.30, 22550.35, 22666.30
04/05/24, 22486.40, 22537.60, 22427.60, 22513.70
04/04/24, 22592.10, 22619.00, 22303.80, 22514.65
04/03/24, 22385.70, 22521.10, 22346.50, 22434.65
04/02/24, 22458.80, 22497.60, 22388.15, 22453.30
04/01/24, 22455.00, 22529.95, 22427.75, 22462.00
03/28/24, 22163.60, 22516.00, 22163.60, 22326.90
03/27/24, 22053.95, 22193.60, 22052.85, 22123.65
03/26/24, 21947.90, 22073.20, 21947.55, 22004.70
03/22/24, 21932.20, 22180.70, 21883.30, 22096.75
03/21/24, 21989.90, 22080.95, 21941.30, 22011.95
03/20/24, 21843.90, 21930.90, 21710.20, 21839.10
03/19/24, 21946.45, 21978.30, 21793.10, 21817.45
03/18/24, 21990.10, 22123.70, 21916.55, 22055.70
03/15/24, 22064.85, 22120.90, 21931.70, 22023.35
03/14/24, 21982.55, 22204.60, 21917.50, 22146.65
03/13/24, 22432.20, 22446.75, 21905.65, 21997.70
03/12/24, 22334.45, 22452.55, 22256.00, 22335.70
03/11/24, 22517.50, 22526.60, 22307.25, 22332.65
03/07/24, 22505.30, 22525.65, 22430.00, 22493.55
03/06/24, 22327.50, 22497.20, 22224.35, 22474.05
03/05/24, 22371.25, 22416.90, 22269.15, 22356.30
03/04/24, 22403.50, 22440.90, 22358.30, 22405.60
03/01/24, 22048.30, 22353.30, 22047.75, 22338.75
02/29/24, 21935.20, 22060.55, 21860.65, 21982.80
02/28/24, 22214.10, 22229.15, 21915.85, 21951.15
02/27/24, 22090.20, 22218.25, 22085.65, 22198.35
02/26/24, 22169.20, 22202.15, 22075.15, 22122.05
02/23/24, 22290.00, 22297.50, 22186.10, 22212.70
02/22/24, 22081.55, 22252.50, 21875.25, 22217.45
02/21/24, 22248.85, 22249.40, 21997.95, 22055.05
02/20/24, 22099.20, 22215.60, 22045.85, 22196.95
02/19/24, 22103.45, 22186.65, 22021.05, 22122.25
02/16/24, 22020.30, 22068.65, 21968.95, 22040.70
02/15/24, 21906.55, 21953.85, 21794.80, 21910.75
02/14/24, 21578.15, 21870.85, 21530.20, 21840.05
02/13/24, 21664.30, 21766.80, 21543.35, 21743.25
02/12/24, 21800.80, 21831.70, 21574.75, 21616.05
02/09/24, 21727.00, 21804.45, 21629.90, 21782.50
02/08/24, 22009.65, 22011.05, 21665.30, 21717.95
02/07/24, 22045.05, 22053.30, 21860.15, 21930.50
02/06/24, 21825.20, 21951.40, 21737.55, 21929.40
02/05/24, 21921.05, 21964.30, 21726.95, 21771.70
02/02/24, 21812.75, 22126.80, 21805.55, 21853.80
02/01/24, 21780.65, 21832.95, 21658.75, 21697.45
01/31/24, 21487.25, 21741.35, 21448.85, 21725.70
01/30/24, 21775.75, 21813.05, 21501.80, 21522.10
01/29/24, 21433.10, 21763.25, 21429.60, 21737.60
01/25/24, 21454.60, 21459.00, 21247.05, 21352.60
01/24/24, 21185.25, 21482.35, 21137.20, 21453.95
01/23/24, 21716.70, 21750.25, 21192.60, 21238.80
01/19/24, 21615.20, 21670.60, 21575.00, 21622.40
01/18/24, 21414.20, 21539.40, 21285.55, 21462.25
01/17/24, 21647.25, 21851.50, 21550.45, 21571.95
01/16/24, 22080.50, 22124.15, 21969.80, 22032.30
01/15/24, 22053.15, 22115.55, 21963.55, 22097.45
01/12/24, 21773.55, 21928.25, 21715.15, 21894.55
01/11/24, 21688.00, 21726.50, 21593.75, 21647.20
01/10/24, 21529.30, 21641.85, 21448.65, 21618.70
01/09/24, 21653.60, 21724.45, 21517.85, 21544.85
01/08/24, 21747.60, 21763.95, 21492.90, 21513.00
01/05/24, 21705.75, 21749.60, 21629.20, 21710.80
01/04/24, 21605.80, 21685.65, 21564.55, 21658.60
01/03/24, 21661.10, 21677.00, 21500.35, 21517.35
01/02/24, 21751.35, 21755.60, 21555.65, 21665.80
01/01/24, 21727.75, 21834.35, 21680.85, 21741.90
12/29/23, 21737.65, 21770.30, 21676.90, 21731.40
12/28/23, 21715.00, 21801.45, 21678.00, 21778.70
12/27/23, 21497.65, 21675.75, 21495.80, 21654.75
12/26/23, 21365.20, 21477.15, 21329.45, 21441.35
12/22/23, 21295.85, 21390.50, 21232.45, 21349.40
12/21/23, 21033.95, 21288.35, 20976.80, 21255.05
12/20/23, 21543.50, 21593.00, 21087.35, 21150.15
12/19/23, 21477.65, 21505.05, 21337.75, 21453.10
12/18/23, 21434.80, 21482.80, 21365.35, 21418.65
12/15/23, 21287.45, 21492.30, 21235.30, 21456.65
12/14/23, 21110.40, 21210.90, 21074.45, 21182.70
12/13/23, 20929.75, 20950.00, 20769.50, 20926.35
12/12/23, 21018.55, 21037.90, 20867.15, 20906.40
12/11/23, 20965.30, 21026.10, 20923.70, 20997.10
12/08/23, 20934.10, 21006.10, 20862.70, 20969.40
12/07/23, 20932.40, 20941.25, 20850.80, 20901.15
12/06/23, 20950.75, 20961.95, 20852.15, 20937.70
12/05/23, 20808.90, 20864.05, 20711.15, 20855.10
